id;user_id;session_type;mode;started_at;ended_at;total_interactions;domains_explored;mood_start;mood_end;ai_insights
c421ff6e-9b9f-4fa3-90eb-19e549f4db6f;99d92034-4e39-446f-b552-6d14de2896d6;curiosity_compass;story;2026-03-08 12:41:16.094846+00;;0;[];;;{}
9ea5c755-7b17-4af1-8de3-4487338fcf67;99d92034-4e39-446f-b552-6d14de2896d6;curiosity_compass;story;2026-03-09 03:11:59.438441+00;;0;[];;;{}
666705b3-ab92-4ef4-beb8-1b97fbb62939;99d92034-4e39-446f-b552-6d14de2896d6;curiosity_compass;story;2026-03-09 03:12:03.895601+00;;0;[];;;{}
d27f3f22-e9ad-4c9d-a449-e08ef5c70fb8;99d92034-4e39-446f-b552-6d14de2896d6;curiosity_compass;challenge;2026-03-09 03:12:07.953106+00;;0;[];;;{}
dd3c5d0f-cb64-478b-b7b6-b2308fb71d7b;99d92034-4e39-446f-b552-6d14de2896d6;curiosity_compass;story;2026-03-09 03:12:14.222184+00;;0;[];;;{}
78c66156-b055-4bb4-8114-f448710bfae4;99d92034-4e39-446f-b552-6d14de2896d6;curiosity_compass;story;2026-03-09 03:12:54.345285+00;;0;[];;;{}
475b018d-6c34-4c47-aea5-322dcf57ffbe;99d92034-4e39-446f-b552-6d14de2896d6;curiosity_compass;challenge;2026-03-09 03:12:57.517291+00;;0;[];;;{}
029d27b2-0e5e-437b-bb79-88984f4ae6fb;99d92034-4e39-446f-b552-6d14de2896d6;curiosity_compass;challenge;2026-03-09 03:17:45.771696+00;;0;[];;;{}
c83623f6-8774-4d70-af20-cc8a341469b3;99d92034-4e39-446f-b552-6d14de2896d6;curiosity_compass;story;2026-03-09 03:17:58.08506+00;;0;[];;;{}
105ce8bd-b407-4d27-83d2-6855b2781fbf;99d92034-4e39-446f-b552-6d14de2896d6;curiosity_compass;story;2026-03-09 14:47:12.019626+00;2026-03-09 15:08:08.679+00;0;[];curious;curious;"{""domains_to_pursue"":[""Broad career categories (e.g., Creative Arts, STEM, Healthcare, Business) to gauge initial reactions."",""Values and work environment preferences, as these can be foundational for later career exploration.""],""key_discoveries"":[""User's initial mood is 'curious', suggesting a readiness to explore, though no specific areas piqued strong interest during this session."",""No specific career paths or interests were identified or expressed."",""The session was brief and lacked direct engagement with discoverable content such as career cards or interest selections.""],""motivational_note"":""Every journey begins with a single step, and sometimes, that step is simply observing. Your curiosity is a wonderful starting point for exploration. Take your time, and let's discover what truly ignites your passion!"",""next_session_suggestion"":""In the next session, I recommend presenting the user with a diverse set of high-level career categories or values to see which ones they are most drawn to. This can help narrow down future exploration. Perhaps, starting with a 'rapid-fire' style card view with simple, engaging visuals might encourage more direct interaction."",""patterns"":[{""meaning"":""The user started with and maintained a curious disposition, indicating an open mind for exploration but no strong pull towards any particular area yet."",""pattern"":""Consistent 'curious' mood""}],""session_summary"":""The user entered the session in a 'curious' mood and maintained this mood throughout, indicating a baseline level of interest and openness. No specific career cards were interacted with, and no additional interests or visual selections were made. This suggests an initial, perhaps exploratory, phase without concrete engagements.""}"
bd0f4797-add2-4b03-8881-fae36a4933fe;99d92034-4e39-446f-b552-6d14de2896d6;curiosity_compass;career-cards;2026-03-09 15:16:52.273955+00;;0;[];curious;;{}
99a67772-c0d6-450e-845c-e21a9288a761;99d92034-4e39-446f-b552-6d14de2896d6;curiosity_compass;visual;2026-03-09 15:37:52.424652+00;2026-03-09 15:38:15.032+00;0;[];curious;curious;"{""domains_to_pursue"":[""Technology"",""Art & Design"",""Business"",""Writing"",""Music & Media"",""Finance"",""Engineering""],""key_discoveries"":[""Broad interest across diverse domains (Technology, Art & Design, Business, Writing, Music & Media, Finance, Engineering)"",""Visual exploration preference indicates an initial stage of understanding different career types."",""A sustained 'curious' mood suggests genuine interest in learning about these fields.""],""motivational_note"":""Your open-minded and curious approach to exploration is fantastic! There's a whole world of possibilities out there, and your willingness to look across diverse fields is a great strength. Keep exploring, you're on the right track to discovering what truly excites you!"",""next_session_suggestion"":""Given the broad visual exploration, the next session could focus on narrowing down interests within these selected domains. We could introduce cards that highlight interdisciplinary roles (e.g., 'Product Designer' which combines Technology and Art & Design, or 'Financial Journalist' which combines Finance and Writing). Alternatively, we could delve deeper into 2-3 of the user's most appealing high-level domains to explore specific roles within them."",""patterns"":[{""meaning"":""The user is in an exploratory phase, trying to understand the landscape of available career options. This likely indicates a desire to keep options open or to find connections between seemingly disparate fields."",""pattern"":""Broad visual selections""},{""meaning"":""The user is genuinely engaged and open to new information, which is a positive foundation for career exploration. This suggests they are enjoying the process of discovery."",""pattern"":""Consistent 'curious' mood""}],""session_summary"":""The user primarily explored a wide range of career domains with a 'curious' mood throughout the session. The exploration was entirely visual, indicating an initial broad interest rather than deep dives into specific roles. The user selected a multitude of high-level domains, suggesting a diverse set of latent interests.""}"
4944e4c4-3616-49a5-b9d6-415dba66c7b0;99d92034-4e39-446f-b552-6d14de2896d6;curiosity_compass;career-cards;2026-04-06 06:50:53.738615+00;;0;[];;;{}
a58127b2-0e19-4d2d-8c48-c0f769d6f1a9;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;curiosity_compass;story;2026-04-23 12:10:49.67411+00;;0;[];;;{}
47dd5952-7623-4179-b913-269c03e0d9d2;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;curiosity_compass;story;2026-04-23 12:11:12.105352+00;;0;[];;;{}
7be9461f-efc3-4c6f-ae6d-3a55b87f0ab2;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;curiosity_compass;story;2026-04-24 05:19:15.267157+00;;0;[];;;{}
94535c6c-6817-4be9-815a-c4c8543e7121;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;curiosity_compass;career-cards;2026-04-24 05:28:15.5537+00;;0;[];;;{}
d6cc41be-d841-4d86-9dbb-98ae36e94a31;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;curiosity_compass;story;2026-04-26 13:43:50.248598+00;;0;[];;;{}
12ff4df3-6981-4fc0-9dc2-897edd9c483d;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;curiosity_compass;career-cards;2026-04-26 13:58:02.523759+00;;0;[];;;{}
20427236-eef9-4f85-b91a-94ca92fe2f09;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;curiosity_compass;story;2026-04-26 14:01:28.755893+00;;0;[];;;{}
cdd8ff6d-5ccf-4c58-9ae7-183bea97a32c;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;curiosity_compass;career-cards;2026-04-26 14:55:56.004282+00;;0;[];;;{}
084a99f5-72a5-493f-9f04-b817a87ff93f;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;curiosity_compass;story;2026-04-26 15:02:08.612471+00;;0;[];;;{}
2a2b2eac-6908-44f3-b37d-756a9e81244b;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;curiosity_compass;career-cards;2026-04-27 04:36:31.253428+00;;0;[];;;{}
3afef8c3-d242-427e-9246-309c5b3fabe6;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;curiosity_compass;story;2026-04-29 04:06:07.298644+00;;0;[];;;{}
6804e42a-8edd-472f-9ac3-75e502bdc0a4;bb4238c8-c8f7-4684-b950-22cedd128e18;curiosity_compass;career-cards;2026-04-30 04:05:26.021839+00;;0;[];;;{}
